# 情境卡：每行「編號|正面文字」，受訪者在工具裡按「抽一張」會隨機抽（同一場不重複）。背面資訊不放這裡。
# 2026-09-21 先放 9/16 的 30 張（中高齡版），就服乙級版寫好後整檔換掉。
A1|你的朋友 50 歲去應徵，對方說「我們想找年輕一點的」。他想知道這樣可以嗎。
A2|一位鄰居在公司做了二十年，主管暗示她年紀大了該讓位。她想知道公司能不能因為年紀叫人走。
A3|你朋友看到徵才廣告寫「限 40 歲以下」，想知道可以去哪裡反映。
A4|一位阿姨面試時被問「妳這個年紀體力行嗎」，覺得不舒服，想知道算不算歧視。
A5|你朋友是老闆，想優先錄取 55 歲以上的人，怕反而被說歧視年輕人。
B1|你的朋友被公司叫回家不用再來了，他想知道接下來可以怎麼辦。
B2|一位鄰居的公司說生意不好要裁員，他想知道公司要提前多久告訴他。
B3|你朋友被裁員，想知道可以拿到多少錢。
B4|老闆要你朋友簽「自願離職」，他不想簽又怕得罪人，想知道簽了會怎樣。
B5|你朋友在公司受傷還在治療，公司說要把他解僱。他想知道可以這樣嗎。
C1|你朋友 58 歲剛失業，想知道政府有沒有錢可以先撐一下。
C2|一位鄰居失業超過三個月了，想知道去哪裡登記、要帶什麼。
C3|你朋友失業中想去上課學新東西，想知道上課期間有沒有生活費可以領。
C4|你朋友找到新工作要搬到外縣市，想知道搬家有沒有補助。
D1|你朋友剛退休，閒不下來想再找工作，想知道政府有沒有幫忙。
D2|一位 66 歲的伯伯還想工作，想知道公司可以用什麼方式僱用他。
D3|你朋友快退休了，公司說有什麼「退休準備」的協助，他想知道是什麼。
D4|一位退休的阿姨想知道，如果再去工作，之前的退休金會不會有影響。
E1|你朋友的工作要一直站著，年紀大了吃不消，想知道能不能請公司改一下。
E2|一位老闆想幫年紀大的員工換比較輕鬆的設備，想知道政府有沒有補助。
E3|你朋友眼睛不好，工作電腦字太小，想知道有沒有什麼輔具可以申請。
F1|你朋友是小老闆，聽說請年紀大的人政府有給錢，想知道是真的嗎。
F2|一位老闆想留下已經 65 歲的老員工繼續做，想知道有沒有補助。
F3|你朋友的公司想辦老員工帶新人的活動，聽說有獎勵。
G1|你朋友 52 歲想學電腦，想知道有沒有補貼。
G2|一位老闆想送年紀大的員工去上課，想知道學費政府會不會出。
H1|你朋友不知道去哪裡找工作比較可靠，想知道政府有沒有幫人介紹工作的地方。
H2|一位阿姨想知道，去就業中心登記之後，他們會幫忙做什麼。
I1|你朋友聽過「銀髮人才」什麼據點，想知道那是做什麼的。
I2|一位鄰居想知道，年紀大了在公司會不會有什麼健康上的保護。
